City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Abu Samrah,SY,35.3029,37.1841,70.38,83,0,3.02,scattered clouds
115,Clyde River,CA,70.4692,-68.5914,27.9,93,100,3.33,scattered clouds
116,Honiara,SB,-9.4333,159.95,84.4,75,88,6.8,scattered clouds
117,Bandarbeyla,SO,9.4942,50.8122,78.42,73,47,15.82,scattered clouds
118,Ventspils,LV,57.3894,21.5606,53.53,82,40,17.27,scattered clouds
119,Shikarpur,PK,27.9571,68.6379,85.89,44,0,4.97,scattered clouds
120,Latung,PH,5.5,120.8833,84.88,68,95,8.7,scattered clouds
121,Gravdal,NO,68.1214,13.5031,48.09,100,75,6.91,scattered clouds
122,Saint-Augustin,CA,51.226,-58.6502,41.94,70,8,13.49,scattered clouds
123,Nikolskoye,RU,59.7035,30.7861,46.29,95,80,4.74,scattered clouds
124,Ixtapa,MX,20.7,-105.2,79.83,83,75,3.44,scattered clouds
125,Utinga,BR,-5.8172,-35.3954,74.25,88,20,3.44,scattered clouds
126,Thompson,CA,55.7435,-97.8558,43.72,57,46,1.32,scattered clouds
127,Esperance,AU,-33.8667,121.9,62.44,72,65,10.18,scattered clouds
128,Lewistown,US,40.5992,-77.5714,48.63,93,0,0.0,scattered clouds
129,Port Lincoln,AU,-34.7333,135.8667,60.26,83,97,20.89,scattered clouds
130,Micheweni,TZ,-4.9667,39.8333,73.78,80,47,5.79,scattered clouds
131,Denizli,TR,37.8402,29.0698,56.73,55,2,2.91,scattered clouds
132,Leningradskiy,RU,69.3833,178.4167,31.17,89,100,4.12,scattered clouds
133,Hasaki,JP,35.7333,140.8333,88.29,68,51,23.58,scattered clouds
134,Mitsamiouli,KM,-11.3847,43.2844,75.51,71,50,7.16,scattered clouds
135,Kavaratti,IN,10.5669,72.642,81.86,76,100,14.16,scattered clouds
136,Teruel,ES,40.6667,-0.6667,55.44,52,87,2.66,scattered clouds
137,Sola,VU,-13.8833,167.55,80.37,75,18,10.96,scattered clouds
138,Ca Mau,VN,9.1769,105.15,85.17,71,99,7.78,scattered clouds
139,Mendi,PG,-6.1761,143.6513,68.94,71,62,5.37,scattered clouds
140,East London,ZA,-33.0153,27.9116,62.06,70,100,14.18,scattered clouds
141,Castro,BR,-24.7911,-50.0119,55.27,98,100,4.38,scattered clouds
142,Saint George,US,37.1041,-113.5841,72.95,45,0,3.0,scattered clouds
143,Bredasdorp,ZA,-34.5322,20.0403,51.1,82,12,5.41,scattered clouds
144,Touros,BR,-5.1989,-35.4608,75.54,80,22,13.35,scattered clouds
145,Lagoa,PT,39.05,-27.9833,68.34,79,98,5.86,scattered clouds
146,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,17.27,scattered clouds
147,Chapais,CA,49.7834,-74.8492,43.43,78,93,7.09,scattered clouds
148,Tazovskiy,RU,67.4667,78.7,36.54,97,100,17.67,scattered clouds
149,Barrow,US,71.2906,-156.7887,23.02,93,100,10.36,scattered clouds
150,Kisumu,KE,-0.1022,34.7617,67.6,76,100,4.09,scattered clouds
151,Shebalino,RU,51.2917,85.6772,44.4,38,1,1.52,scattered clouds
152,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,scattered clouds
153,Antananarivo,MG,-18.9137,47.5361,55.36,94,20,3.44,scattered clouds
154,Saldanha,ZA,-33.0117,17.9442,56.05,79,16,11.14,scattered clouds
155,Port Hardy,CA,50.6996,-127.4199,58.53,91,85,4.07,scattered clouds
156,Kolvereid,NO,64.8655,11.6047,49.23,90,100,7.14,scattered clouds
157,Lata,PT,40.1629,-8.3327,55.92,57,1,2.84,scattered clouds
158,Khatanga,RU,71.9667,102.5,22.42,83,100,6.33,scattered clouds
159,Tuktoyaktuk,CA,69.4541,-133.0374,25.03,85,8,14.81,scattered clouds
