City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Umm Lajj,SA,2022-10-01 04:47:35,25.0213,37.2685,91.72,32,0,12.91
122,San Patricio,US,2022-10-01 04:47:35,28.017,-97.5169,78.84,55,0,7.63
123,Fortuna,US,2022-10-01 04:47:36,40.5982,-124.1573,57.65,79,15,2.64
124,Linhai,CN,2022-10-01 04:47:36,28.85,121.1167,95.94,36,19,5.28
125,Zwedru,LR,2022-10-01 04:47:37,6.0667,-8.1281,70.32,100,99,2.57
126,Hanko,FI,2022-10-01 04:47:37,59.8333,22.95,52.48,77,48,18.59
127,Kaduqli,SD,2022-10-01 04:47:37,11.0167,29.7167,73.2,85,90,3.42
128,Praia,CV,2022-10-01 04:47:38,14.9215,-23.5087,79.34,89,75,10.36
129,Vikhorevka,RU,2022-10-01 04:47:38,56.1201,101.1636,27.99,87,100,7.02
130,Buncrana,IE,2022-10-01 04:47:39,55.1333,-7.45,50.56,86,60,18.84
131,Narasannapeta,IN,2022-10-01 04:43:10,18.4167,84.05,86.45,67,62,5.68
132,Arlit,NE,2022-10-01 04:47:39,18.7369,7.3853,86.36,36,47,8.08
133,Thompson,CA,2022-10-01 04:45:47,55.7435,-97.8558,26.76,93,20,4.61
134,Torbay,CA,2022-10-01 04:47:40,47.6666,-52.7314,49.57,94,40,10.36
135,Hay River,CA,2022-10-01 04:47:40,60.8156,-115.7999,58.98,67,75,10.36
136,Ardakan,IR,2022-10-01 04:47:40,32.31,54.0175,82.63,10,0,4.32
137,Saint George,US,2022-10-01 04:44:18,37.1041,-113.5841,79.95,35,0,4.61
138,Mankono,CI,2022-10-01 04:47:41,8.0586,-6.1897,70.12,97,77,3.04
139,Novobiryusinskiy,RU,2022-10-01 04:47:41,56.9578,97.7076,33.82,84,100,3.58
140,Cherskiy,RU,2022-10-01 04:47:42,68.75,161.3,33.28,62,100,3.53
141,Canton,CN,2022-10-01 04:45:55,23.1167,113.25,89.55,50,79,8.23
142,Bambous Virieux,MU,2022-10-01 04:48:42,-20.3428,57.7575,74.21,83,75,8.05
143,Portobelo,PA,2022-10-01 04:48:43,9.55,-79.65,75.96,86,100,6.73
144,Mount Isa,AU,2022-10-01 04:48:43,-20.7333,139.5,83.97,17,99,6.91
145,Yuxia,CN,2022-10-01 04:48:43,34.0615,108.6291,75.7,86,99,3.38
146,Iwanai,JP,2022-10-01 04:48:44,42.9744,140.5089,73.33,69,39,8.86
147,Jinchang,CN,2022-10-01 04:48:44,38.4953,102.1739,79.57,16,0,3.22
148,Buribay,RU,2022-10-01 04:48:45,51.9617,58.1592,36.82,87,100,7.94
149,Prestea,GH,2022-10-01 04:48:45,5.4327,-2.1428,72.03,99,100,2.55
150,Akyab,MM,2022-10-01 04:45:43,20.15,92.9,84.02,75,98,4.65
151,Eatonton,US,2022-10-01 04:48:46,33.3268,-83.3885,63.39,80,92,2.64
152,Maua,BR,2022-10-01 04:48:46,-23.6678,-46.4614,63.75,99,100,1.41
153,Naze,JP,2022-10-01 04:48:47,28.3667,129.4833,83.32,62,1,8.16
